identificador,valor_subasta,valor_ultima_puja,importe_deposito,tramos_entre_pujas,puja_minima,direccion,provincia,localidad,codigo_postal,descripcion,situacion_posesoria,visitable,inscripcion_registral,idufir
SUB-JA-2021-175543,182531.17,Sin puja,9126.56,3650.62,,"PASEO PASTRANA, 42-44. PLANTA BAJA, PUERTA A ALCALA DE HENARES",Madrid,ALCALA DE HENARES,28803,"PASEO PASTRANA, 42-44. BAJO A. ALCALA DE HENARES",No consta,No consta,,
SUB-JA-2021-181245,169000.0,,8450.0,3380.0,,C/ ALBASANZ 70-72,Madrid,MADRID,28037,"PLAZA DE GARAJE FINCA 70281, DESCRITA EN EL EDICTO",No consta,No consta,,
SUB-JA-2021-180157,168180.06,Sin puja,8409.0,3363.6,,"""MANILVA MAR Y GOLF"", CALLE LA CEPA 2 LOFT B1",Málaga,MANILVA,29691,"VIVIENDA DENOMINADA 1-L-B, SITUADA EN LA PLANTA LOFT DEL BLOQUE 1 DEL CONJUNTO EN CONSTRUCCION, DENOMINADO ""MANILVA MAR Y GOLF"" DEL TERMINO MUNICIPAL DE MANILVA",No consta,No consta,,
SUB-JA-2021-180157,168965.91,Sin puja,8448.3,3379.32,,"""MANILVA MAR Y GOLF"", CALLE LA CEPA 2 LOFT C1",Málaga,MANILVA,29691,"VIVIENDA DENOMINADA 1-L-C, SITUADA EN LA PLANTA LOFT DEL BLOQUE 1 DEL CONJUNTO, EN CONSTRUCCION, DENOMINADO ""MANILVA MAR Y GOLF"" DEL TERMINO MUNICIPAL DE MANILVA",No consta,No consta,,
SUB-JA-2021-180157,152583.29,Sin puja,7629.16,3051.67,,"""MANILVA MAR Y GOLF"", CALLE LA CEPA 2 LOFT E1",Málaga,MANILVA,29691,"VIVIENDA DENOMINADA 1-L-E, SITUADA EN LAPLANTA LOFT DEL BLOQUE 1 DEL CONJUNTO, EN CONSTRUCCION, DENOMINADO ""MANILVA MAR Y GOLF"" DEL TERMINO MUNICIPAL DE MANILVA",No consta,No consta,,
SUB-JA-2021-180157,191938.03,Sin puja,9596.9,3838.76,,"""MANILVA MAR Y GOLF"", CALLE LA CEPA 2 BAJO B1",Málaga,MANILVA,29691,"VIVIENDA DENOMINADA 1-0-B, SITUADA EN LA PLANTA BAJA DEL BLOQUE 1 DEL CONJUNTO, EN CONSTRUCCION, DENOMINADO ""MANILVA MAR Y GOLF"", DEL TERMINO MUNICIPAL DE MANILVA",No consta,No consta,,
SUB-JA-2021-180157,191549.69,Sin puja,9577.48,3830.99,,"""MANILVA MAR Y GOLF"", CALLE LA CEPA 2, BAJO C1",Málaga,MANILVA,29691,"VIVIENDA DENOMINADA 1-0-C, SITUADA EN LA PLANTA BAJA DEL BLOQUE 1 DEL CONJUNTO, EN CONSTRUCCION, DENOMINADO ""MANILVA MAR Y GOLF"", DEL TERMINO MUNICIPAL DE MANILVA",No consta,No consta,,
SUB-JA-2021-180157,192195.31,Sin puja,9609.77,3843.91,,"""MANILVA MAR Y GOLF"", CALLE LA CEPA 2, BAJO D1",Málaga,MANILVA,29691,"VIVIENDA DENOMINADA 1-0-D, SITUADA EN LA PLANTA BAJA DEL BLOQUE 1 DEL CONJUNTO, EN CONSTRUCCION, DENOMINADO ""MANILVA MAR Y GOLF"", DEL TERMINO MUNICIPAL DE MANILVA",No consta,No consta,,
SUB-JA-2021-180157,141279.67,Sin puja,7063.98,2825.59,,"""MANILVA MAR Y GOLF"", CALLE LA CEPA 2, BAJO E1",Málaga,MANILVA,29691,"VIVIENDA DENOMINADA 1-0-E, SITUADA EN LA PLANTA BAJA DEL BLOQUE 1 DEL CONJUNTO, EN CONSTRUCCION, DENOMINADO ""MANILVA MAR Y GOLF"", DEL TERMINO MUNICIPAL DE MANILVA",No consta,No consta,,
SUB-JA-2021-180157,191427.76,Sin puja,9571.39,3828.56,,"""MANILVA MAR Y GOLF"", CALLE LA CEPA 2, BAJO F1",Málaga,MANILVA,29691,"VIVIENDA DENOMINADA 1-0-F, SITUADA EN LA PLANTA BAJA DEL BLOQUE 1 DEL CONJUNTO, EN CONSTRUCCION, DENOMINADO ""MANILVA MAR Y GOLF"", DEL TERMINO MUNICIPAL DE MANILVA",No consta,No consta,,
