identificador,valor_subasta,descripcion,importe_deposito,tramos_entre_pujas,puja_minima,direccion,provincia,localidad,codigo_postal,situacion_posesoria,visitable,inscripcion_registral,idufir
SUB-JC-2021-181233,"165.879,00 €","BIEN 1 LOTE 1. FINCA 4011 RP 7 MÁLAGA. PARCELA DE TERRENO URBANIZABLE, EN ELPOLIGONO INDUSTRIAL DE COLMENAR, PARAJE CORTIJO DE LA SUERTE. PARCELA ONCE DE LA MANZANA TRES.","8.293,95 €","1.000,00 €",Sin puja mínima,"Parcela 11 Paraje Cortijo de las Suertes, Polígono Industrial de Colmenar, Manzana 3",Málaga,colmenar,29170,No consta,No,,
SUB-JC-2021-181233,"312.000,00 €",BIEN 1 LOTE 2 FINCA 60.714 RP 2 CHICLANA LOCAL COMERCIAL NUMERO VEINTITRESSITUADO EN PLANTA ALTA DEL COMPLEJO COMERCIAL SITO EN LA PARCELA CINCO DE LA E.C. DE LA URBANIZACION NOVO SANCTI-PETRI DE CHICLANA DE LA FRONTERA,"15.600,00 €","1.000,00 €",Sin puja mínima,"Av. Amilcar Barca Es:1 Pl:01 Pt:23 centro comercial altamar,",Cádiz,chiclana de la frontera,11139,No consta,No,,
SUB-JA-2021-159152,"204.652,80 €","Urbana. Entidad numero ciento treinta:Vivienda 1ª/A, situada en laplanta primera del portal Nª uno DEL Edificio LOREN IV y V en el término municipal deMijas.","10.232,64 €","4.093,06 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 1ºA, Mijas, ",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"182.114,16 €","Urbana. Entidad numero ciento treinta y dos :Vivienda 1ª/C, situada enla planta primera del portal Nª uno DEL Edificio LOREN IV y V en el término municipal deMijas.","9.105,71 €","3.642,28 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 1ºC, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"147.160,68 €","Urbana.Entidad numero ciento treinta y tres:Vivienda 1ª/D, situada enla planta primera del portal Nª uno DEL Edificio LOREN IV y V en el término municipal deMijas.","7.358,03 €","2.943,21 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 1ºD, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"98.112,17 €","Urbana.Entidad numero ciento treinta y cuatro :Vivienda 1ª/E, situadaen la planta primera del portal Nª uno DEL Edificio LOREN IV y V en el término municipalde Mijas.","4.905,61 €","1.962,24 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 1ºE, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"201.942,50 €","Urbana. Urbana.Entidad numero ciento treinta y ocho:Vivienda 1ª/D,situada en la planta primera del portal Nª uno DEL Edificio LOREN IV y V en el términomunicipal de Mijas.","10.097,13 €","4.038,85 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 2, vivienda 1ºD, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"207.850,50 €","Urbana. Urbana.Entidad numero ciento treinta y nueve :Vivienda 2ª/A,situada en la planta segunda del portal Nª uno DEL Edificio LOREN IV y V en el términomunicipal de Mijas.","10.392,53 €","4.157,01 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 2ºA, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"182.163,23 €","Urbana.Entidad numero ciento cuatenta y uno:Vivienda 2º/C, situadaen la planta segunda del portal Nª uno DEL Edificio LOREN IV y V en el término municipalde Mijas.","9.108,16 €","3.643,26 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 2ºC, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"147.160,68 €","Urbana. Urbana.Entidad numero ciento cuatenta y dis :Vivienda 2º/D,situada en la planta segunda del portal Nª uno DEL Edificio LOREN IV y V en el términomunicipal de Mijas.","7.358,03 €","2.943,21 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 2ºD, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"111.778,13 €","Urbana. Urbana.Entidad numero ciento cuatenta y tres :Vivienda 2º/E,situada en la planta segunda del portal Nª uno DEL Edificio LOREN IV y V en el términomunicipal de Mijas.","5.588,91 €","2.235,56 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 2ºE, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"112.508,55 €","Urbana.Entidad numero ciento cuatenta y cuatro :Vivienda 2º/A,situada en la planta segunda del portal Nª uno DEL Edificio LOREN IV y V en el términomunicipal de Mijas.","5.625,43 €","2.250,17 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 2, vivienda 2ºA, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"188.597,47 €","Urbana. Entidad numero ciento cuatenta y cinco :Vivienda 2º/B,situada en la planta segunda del portal Nª uno DEL Edificio LOREN IV y V en el términomunicipal de Mijas.","9.429,87 €","3.771,95 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 2, vivienda 2ºB, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"214.245,90 €","Urbana.Entidad numero ciento cuatenta y ocho:Vivienda 3º/A, situadaen la planta tercera del portal Nª uno DEL Edificio LOREN IV y V en el término municipalde Mijas.","10.712,30 €","4.284,92 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 3ºA, Mijas,",Málaga,MIJS,29651,No consta,No consta,,
SUB-JA-2021-159152,"186.272,06 €","Urbana.Entidad numero ciento cincuenta:Vivienda 3º/C, situada en laplanta tercera del portal Nª uno DEL Edificio LOREN IV y V en el término municipal deMijas.","9.313,60 €","3.725,44 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, portal 1, vivienda 3ºC, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"110.901,29 €","Tipo: Urbana.Entidad numero ciento cincuenta y dos :Vivienda 3º/E, situadaen la planta tercera del portal Nª uno DEL Edificio LOREN IV y V en el término municipalde Mijas.","5.545,06 €","2.218,03 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, portal 1, vivienda 3ºE, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"187.190,12 €","Tipo: Urbana.Entidad numero ciento cincuenta y cinco :Vivienda 3º/C,situada en la planta tercera del portal Nª uno DEL Edificio LOREN IV y V en el términomunicipal de Mijas.","9.359,51 €","3.743,80 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, portal 2, vivienda 3ºC, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"287.183,41 €","Urbana. Entidad numero ciento sesenta y ocho:Vivienda 5º/C óATICO/C, situada en la planta quinta del portal Nª uno DEL Edificio LOREN IV y V en eltérmino municipal de Mijas.","14.359,17 €","5.743,67 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, portal 1, vivienda 5ºC, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"252.881,73 €","Urbana. Entidad numero ciento sesenta y nueve:Vivienda 5º/A óATICO/C, situada en la planta quinta del portal Nª uno DEL Edificio LOREN IV y V en eltérmino municipal de Mijas.","12.644,09 €","5.057,63 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, portal 2, vivienda 5ºA, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"272.118,61 €","Urbana. Entidad numero ciento veintisiete : Local número siete,conuna superficie construida de 110,29 metros cuadrados, mas una terraza de 18,25 metroscuadrados y útil de 101,42 metros cuadrados.","13.605,93 €","5.442,37 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, local número 7, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"124.210,30 €","Urbana. Entidad numero treinta y ocho : Local número ocho ,con unasuperficie construida de 17,57 metros cuadrados, mas una terraza de 12,40 metros cuadradosy útil de 14,95 metros cuadrados.","6.210,52 €","2.484,21 €",Sin puja mínima," Dirección postal: Calle Goya número 2-4, local número 8, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"102.219,10 €","Urbana. Entidad numero ciento veinte y nueve : Local númeronueve ,con una superficie construida de 48,68 metros cuadrados, mas una terraza de 10,00metros cuadrados y útil de 44,59 metros cuadrados.","5.110,96 €","2.044,38 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, local número 10, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"12.636,99 €",Urbana. Entidad numero cuatro. Destinado a aparcamiento de motos,"631,85 €","252,74 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, garaje número 4, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"20.824,17 €",Urbana. Entidad numero cinco: Plaza de aparcamiento nº cinco.,"1.041,21 €","416,48 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, garaje número 5, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"18.524,26 €",Urbana. Entidad numero seis: Plaza de aparcamiento nº seis.,"926,21 €","370,49 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, garaje número 6, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"17.849,29 €",Urbana. Entidad numero siete: Plaza de aparcamiento nº siete .,"892,46 €","356,99 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, garaje número 7, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"17.324,31 €",Urbana. Entidad numero dieciocho: Plaza de aparcamiento nºdieciocho.,"866,22 €","346,49 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, garaje número 18, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"14.449,42 €",Urbana. Entidad numero veinte : Plaza de aparcamiento nº veinte.,"722,47 €","288,99 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, garaje número 20, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"17.090,73 €",Urbana. Entidad numero veintiuno : Plaza de aparcamiento nºveintiuno.,"854,54 €","341,81 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, garaje número 21, Mijas",Málaga,MIJAS,29651,No consta,No consta,,
SUB-JA-2021-159152,"17.439,28 €",Urbana. Entidad numero veintidós : Plaza de aparcamiento nºveintidós.,"871,96 €","348,79 €",Sin puja mínima,"Dirección postal: Calle Goya número 2-4, garaje número 22, Mijas,",Málaga,MIJAS,29651,No consta,No consta,,
