identificador,tipo_subasta,cantidad_reclamada,lotes,valor_subasta,tasacion,tramos_entre_pujas,importe_deposito,fecha_inicio,fecha_fin,anuncio_BOE,forma_Adjudicacion,puja_minima
SUB-JA-2021-180627,JUDICIAL EN VÍA DE APREMIO,108973.96,2,,,,,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43309,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-180157,JUDICIAL EN VÍA DE APREMIO,10352381.55,187,,,,,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-42967,Separada para cada lote,Ver puja mínima de cada lote 
SUB-NE-2021-875984,NOTARIAL EN VENTA EXTRAJUDICIAL,97342.59,Sin lotes,99290.35,90.35,,4964.52,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43280,,Sin puja mínima
SUB-RC-2021-2959000121M07,RECAUDACIÓN TRIBUTARIA,,6,,,,,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43276,Separada para cada lote,Ver puja mínima de cada lote 
SUB-NE-2021-886010,NOTARIAL EN VENTA EXTRAJUDICIAL,186300.97,Sin lotes,236175.23,175.23,,11808.76,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43283,,Sin puja mínima
SUB-RC-2021-2959000121M04,RECAUDACIÓN TRIBUTARIA,,9,,,,,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43273,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JV-2021-182086,JUDICIAL VOLUNTARIA,39274.0,Sin lotes,40175.0,525.0,803.5,2008.75,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-42889,,Sin puja mínima
SUB-RC-2021-2959000121M03,RECAUDACIÓN TRIBUTARIA,,2,,,,,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43269,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-180178,JUDICIAL EN VÍA DE APREMIO,16322.0,Sin lotes,177029.0,,3540.58,8851.45,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43079,,Sin puja mínima
SUB-JA-2018-116017,JUDICIAL EN VÍA DE APREMIO,137736.41,Sin lotes,170000.0,,3400.0,8500.0,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43080,,Sin puja mínima
SUB-AT-2021-21R3386001036,AGENCIA TRIBUTARIA,,Sin lotes,41633.33,33.33,1000.0,2081.66,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43232,,Sin puja mínima
SUB-AT-2021-21R2986001175,AGENCIA TRIBUTARIA,,Sin lotes,24040.0,40.0,500.0,1202.0,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43242,,Sin puja mínima
SUB-AT-2021-21R2986001124,AGENCIA TRIBUTARIA,,Sin lotes,12063.02,63.02,500.0,603.15,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43241,,Sin puja mínima
SUB-AT-2021-21R2986001123,AGENCIA TRIBUTARIA,,Sin lotes,12063.02,63.02,500.0,603.15,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43240,,Sin puja mínima
